occ,n_aus,n_subjects,n_events,duration,session_pct,fullface_pct,proto,cluster
1+2+18+26,4,1,1,0.272,9.00086357329532e-7,2.862852322920481e-5,,C
12+17+24+34,4,1,2,0.272,9.00086357329532e-7,2.862852322920481e-5,,NA
4+25+26+30,4,1,1,0.272,9.00086357329532e-7,2.862852322920481e-5,,NA
4+6+23,3,1,1,0.272,9.00086357329532e-7,2.862852322920481e-5,,NA
1+2+17+25,4,1,1,0.272,9.00086357329532e-7,2.862852322920481e-5,,C
1+12+18+25,4,1,1,0.272,9.00086357329532e-7,2.862852322920481e-5,,C
4+10+12+25,4,1,1,0.272,9.00086357329532e-7,2.862852322920481e-5,,A
6+12+19+25,4,1,1,0.271,8.96777216309938e-7,2.8523271305568026e-5,,NA
1+2+5+7+19+25+26,7,1,1,0.271,8.96777216309938e-7,2.8523271305568026e-5,,NA
5+8+25+27,4,1,1,0.271,8.96777216309938e-7,2.8523271305568026e-5,,NA
1+2+17+22,4,1,1,0.271,8.96777216309938e-7,2.8523271305568026e-5,,NA
4+7+17+24,4,1,1,0.271,8.96777216309938e-7,2.8523271305568026e-5,"du2014_anger_3
fig2002_anger_48",NA
4+14+27,3,1,1,0.271,8.96777216309938e-7,2.8523271305568026e-5,,NA
4+17+20+25,4,1,2,0.271,8.96777216309938e-7,2.8523271305568026e-5,,A
4+6+15,3,1,1,0.271,8.96777216309938e-7,2.8523271305568026e-5,du2014_sadness_3,NA
1+2+4+12+17,5,1,1,0.271,8.96777216309938e-7,2.8523271305568026e-5,,C
1+2+14+17+19,5,1,1,0.271,8.96777216309938e-7,2.8523271305568026e-5,,NA
15+16+25+26,4,1,1,0.271,8.96777216309938e-7,2.8523271305568026e-5,,NA
9+20+25,3,2,2,0.271,8.96777216309938e-7,2.8523271305568026e-5,,NA
4+17+36,3,1,1,0.271,8.96777216309938e-7,2.8523271305568026e-5,,NA
1+4+18+24,4,1,1,0.271,8.96777216309938e-7,2.8523271305568026e-5,,NA
1+11+15+17,4,1,1,0.271,8.96777216309938e-7,2.8523271305568026e-5,,NA
34,1,2,2,0.27,8.934680752903442e-7,2.8418019381931242e-5,,NA
1+2+17+20+25,5,2,2,0.27,8.934680752903442e-7,2.8418019381931242e-5,,C
7+16+25,3,1,2,0.265,8.769223701923748e-7,2.7891759763747332e-5,,NA
1+6+25,3,2,3,0.238,7.875755626633404e-7,2.5049957825554206e-5,,A
28,1,1,1,0.238,7.875755626633404e-7,2.5049957825554206e-5,,NA
17+22+25,3,2,2,0.238,7.875755626633404e-7,2.5049957825554206e-5,,NA
4+5+17+18,4,1,1,0.238,7.875755626633404e-7,2.5049957825554206e-5,,A
1+2+17+19+25+26,6,2,2,0.238,7.875755626633404e-7,2.5049957825554206e-5,,NA
1+2+5+21+25+26,6,1,1,0.238,7.875755626633404e-7,2.5049957825554206e-5,,NA
13+25,2,1,1,0.238,7.875755626633404e-7,2.5049957825554206e-5,,NA
7+17+23,3,1,1,0.238,7.875755626633404e-7,2.5049957825554206e-5,,NA
1+2+4+5+22,5,1,1,0.238,7.875755626633404e-7,2.5049957825554206e-5,,NA
6+10+25+26,4,1,1,0.238,7.875755626633404e-7,2.5049957825554206e-5,,A
15+23,2,1,1,0.238,7.875755626633404e-7,2.5049957825554206e-5,,NA
17+24+32,3,1,1,0.238,7.875755626633404e-7,2.5049957825554206e-5,,NA
17+26,2,1,1,0.238,7.875755626633404e-7,2.5049957825554206e-5,,A
1+2+5+14+17+19+25+26,8,1,1,0.237,7.842664216437464e-7,2.4944705901917422e-5,,NA
1+2+5+12+22+25+26,7,1,1,0.237,7.842664216437464e-7,2.4944705901917422e-5,,NA
7+23,2,1,1,0.237,7.842664216437464e-7,2.4944705901917422e-5,,NA
1+12+22,3,1,1,0.237,7.842664216437464e-7,2.4944705901917422e-5,,NA
1+2+4+5,4,1,1,0.237,7.842664216437464e-7,2.4944705901917422e-5,fig2002_fear_16,C
12+22+25+26,4,1,1,0.237,7.842664216437464e-7,2.4944705901917422e-5,,NA
1+4+6+8+25+26,6,1,1,0.237,7.842664216437464e-7,2.4944705901917422e-5,,NA
6+10+12+25+26,5,1,1,0.237,7.842664216437464e-7,2.4944705901917422e-5,,B
1+15+25+26,4,1,1,0.237,7.842664216437464e-7,2.4944705901917422e-5,,NA
1+4+6+20+25,5,1,1,0.237,7.842664216437464e-7,2.4944705901917422e-5,,A
13+17+25+26,4,1,1,0.237,7.842664216437464e-7,2.4944705901917422e-5,,NA
5+12+18,3,1,1,0.237,7.842664216437464e-7,2.4944705901917422e-5,,A
1+14+18+25,4,1,1,0.237,7.842664216437464e-7,2.4944705901917422e-5,,NA
17+18+23,3,1,1,0.237,7.842664216437464e-7,2.4944705901917422e-5,,NA
6+20+25+26,4,1,1,0.237,7.842664216437464e-7,2.4944705901917422e-5,,A
1+15+18+25,4,1,1,0.237,7.842664216437464e-7,2.4944705901917422e-5,,NA
4+10+17+25+32,5,1,1,0.237,7.842664216437464e-7,2.4944705901917422e-5,,NA
2+10+16+20+25,5,1,1,0.237,7.842664216437464e-7,2.4944705901917422e-5,,NA
4+25+26+32,4,2,2,0.20400000000000001,6.75064767997149e-7,2.1471392421903605e-5,,NA
5+6+12+25+26,5,1,1,0.204,6.750647679971489e-7,2.1471392421903605e-5,,B
17+25+33,3,1,1,0.204,6.750647679971489e-7,2.1471392421903605e-5,,NA
5+9+25+26,4,1,1,0.204,6.750647679971489e-7,2.1471392421903605e-5,,NA
18+24+26,3,1,1,0.204,6.750647679971489e-7,2.1471392421903605e-5,,NA
1+2+7+12+25+26,6,1,1,0.204,6.750647679971489e-7,2.1471392421903605e-5,,C
5+12+17+25+26+32,6,1,1,0.204,6.750647679971489e-7,2.1471392421903605e-5,,NA
4+17+25+26,4,2,2,0.204,6.750647679971489e-7,2.1471392421903605e-5,,A
1+2+17+18+25,5,1,1,0.204,6.750647679971489e-7,2.1471392421903605e-5,,C
18+26+35,3,1,1,0.204,6.750647679971489e-7,2.1471392421903605e-5,,NA
1+17+20+25,4,1,1,0.204,6.750647679971489e-7,2.1471392421903605e-5,,A
36,1,1,1,0.204,6.750647679971489e-7,2.1471392421903605e-5,,NA
4+13+25+26,4,1,1,0.204,6.750647679971489e-7,2.1471392421903605e-5,,NA
1+2+9+25,4,1,1,0.204,6.750647679971489e-7,2.1471392421903605e-5,,NA
4+7+17+18+25,5,1,1,0.204,6.750647679971489e-7,2.1471392421903605e-5,,A
17+26+32,3,1,1,0.203,6.71755626977555e-7,2.1366140498266824e-5,,NA
2+5,2,1,1,0.203,6.71755626977555e-7,2.1366140498266824e-5,,C
1+2+14+17+26+32,6,1,1,0.203,6.71755626977555e-7,2.1366140498266824e-5,,NA
5+22,2,1,1,0.203,6.71755626977555e-7,2.1366140498266824e-5,,NA
5+26+32,3,1,1,0.203,6.71755626977555e-7,2.1366140498266824e-5,,NA
4+6+18,3,1,1,0.203,6.71755626977555e-7,2.1366140498266824e-5,,A
10+12+25,3,1,1,0.203,6.71755626977555e-7,2.1366140498266824e-5,,B
4+8+12,3,1,1,0.203,6.71755626977555e-7,2.1366140498266824e-5,,NA
5+16,2,1,1,0.203,6.71755626977555e-7,2.1366140498266824e-5,,NA
1+4+16+25,4,1,1,0.203,6.71755626977555e-7,2.1366140498266824e-5,,NA
4+17+25+26+32,5,1,1,0.203,6.71755626977555e-7,2.1366140498266824e-5,,NA
1+2+5+14+19+25+26,7,1,1,0.203,6.71755626977555e-7,2.1366140498266824e-5,,NA
15+17+19+25+26,5,1,1,0.203,6.71755626977555e-7,2.1366140498266824e-5,,NA
1+5+7,3,1,1,0.203,6.71755626977555e-7,2.1366140498266824e-5,,A
1+2+12+18+25+26,6,1,1,0.203,6.71755626977555e-7,2.1366140498266824e-5,,C
18+20+25+26,4,1,1,0.17,5.625539733309574e-7,1.7892827018253004e-5,,A
1+4+7,3,1,1,0.17,5.625539733309574e-7,1.7892827018253004e-5,,A
2+20+24,3,1,1,0.17,5.625539733309574e-7,1.7892827018253004e-5,,NA
5+15+17+26,4,1,1,0.17,5.625539733309574e-7,1.7892827018253004e-5,,NA
2+17+23,3,1,1,0.17,5.625539733309574e-7,1.7892827018253004e-5,,NA
6+7+12+25+26,5,1,1,0.17,5.625539733309574e-7,1.7892827018253004e-5,"cordaro2018_triumph_1
keltner2019_amusement_1
keltner2019_coyness_1
keltner2019_happiness_1",B
10+16,2,1,1,0.17,5.625539733309574e-7,1.7892827018253004e-5,,NA
4+5+17,3,1,1,0.17,5.625539733309574e-7,1.7892827018253004e-5,,A
1+2+5+10+11,5,1,1,0.17,5.625539733309574e-7,1.7892827018253004e-5,,NA
2+5+25,3,1,1,0.17,5.625539733309574e-7,1.7892827018253004e-5,,C
1+14+25,3,1,1,0.17,5.625539733309574e-7,1.7892827018253004e-5,,NA
14+17+25,3,1,1,0.17,5.625539733309574e-7,1.7892827018253004e-5,,NA
1+4+11+25,4,1,1,0.17,5.625539733309574e-7,1.7892827018253004e-5,"fig2002_sadness_26
fig2002_sadness_30",NA
4+17+22+25,4,1,1,0.17,5.625539733309574e-7,1.7892827018253004e-5,,NA
17+20+25,3,1,1,0.169,5.592448323113636e-7,1.7787575094616223e-5,,A
8+25,2,1,1,0.169,5.592448323113636e-7,1.7787575094616223e-5,,NA
4+9+25+26,4,1,1,0.169,5.592448323113636e-7,1.7787575094616223e-5,,NA
4+12+17+25+26+32,6,1,1,0.169,5.592448323113636e-7,1.7787575094616223e-5,,NA
20+25+26+32,4,2,2,0.169,5.592448323113636e-7,1.7787575094616223e-5,,NA
4+5+10+25+26,5,1,1,0.169,5.592448323113636e-7,1.7787575094616223e-5,,A
4+15+17+23,4,2,2,0.169,5.592448323113636e-7,1.7787575094616223e-5,,NA
1+15+17+24,4,1,1,0.169,5.592448323113636e-7,1.7787575094616223e-5,,NA
4+6+20+25+26,5,1,1,0.169,5.592448323113636e-7,1.7787575094616223e-5,,A
4+14+23,3,1,1,0.169,5.592448323113636e-7,1.7787575094616223e-5,,NA
4+5+14+19+25+26,6,1,1,0.169,5.592448323113636e-7,1.7787575094616223e-5,,NA
23+26,2,1,1,0.169,5.592448323113636e-7,1.7787575094616223e-5,,NA
19,1,2,2,0.168,5.559356912917697e-7,1.768232317097944e-5,,NA
1+2+5+23,4,1,2,0.168,5.559356912917697e-7,1.768232317097944e-5,,NA
7+18+25,3,2,2,0.14800000000000002,4.897528708998924e-7,1.5577284698243794e-5,,A
1+2+4+6+12+25,6,1,1,0.136,4.50043178664766e-7,1.4314261614602405e-5,,C
5+12+18+25+26,5,1,1,0.136,4.50043178664766e-7,1.4314261614602405e-5,,B
9+10+25+26,4,1,1,0.136,4.50043178664766e-7,1.4314261614602405e-5,matsumoto2008_disgust_12,NA
4+12+18+25,4,1,1,0.136,4.50043178664766e-7,1.4314261614602405e-5,,A
1+5+23+25,4,1,1,0.136,4.50043178664766e-7,1.4314261614602405e-5,,NA
15+24,2,1,1,0.136,4.50043178664766e-7,1.4314261614602405e-5,,NA
1+2+8+12,4,1,1,0.136,4.50043178664766e-7,1.4314261614602405e-5,,NA
2+20+25+26,4,1,1,0.136,4.50043178664766e-7,1.4314261614602405e-5,,C
1+4+14+18,4,1,1,0.136,4.50043178664766e-7,1.4314261614602405e-5,,NA
1+2+5+18+26,5,1,1,0.136,4.50043178664766e-7,1.4314261614602405e-5,,C
1+12+17+25,4,1,1,0.136,4.50043178664766e-7,1.4314261614602405e-5,,A
19+20+25+26,4,1,1,0.136,4.50043178664766e-7,1.4314261614602405e-5,,NA
7+14+24,3,1,1,0.136,4.50043178664766e-7,1.4314261614602405e-5,,NA
1+2+12+20,4,2,2,0.136,4.50043178664766e-7,1.4314261614602405e-5,,C
9+22+25,3,1,1,0.136,4.50043178664766e-7,1.4314261614602405e-5,,NA
10+17+18+19+25+26,6,1,1,0.135,4.467340376451721e-7,1.4209009690965621e-5,,NA
1+2+5+17+19+25+26,7,1,1,0.135,4.467340376451721e-7,1.4209009690965621e-5,,NA
1+2+5+6+17+19+25+26,8,1,1,0.135,4.467340376451721e-7,1.4209009690965621e-5,,NA
1+2+4+5+12,5,1,1,0.135,4.467340376451721e-7,1.4209009690965621e-5,,C
13+17+19+25+26,5,1,1,0.135,4.467340376451721e-7,1.4209009690965621e-5,,NA
1+16+25,3,1,1,0.135,4.467340376451721e-7,1.4209009690965621e-5,,NA
1+2+18+20+25,5,1,1,0.135,4.467340376451721e-7,1.4209009690965621e-5,,C
1+2+4+12+17+25+26,7,1,1,0.135,4.467340376451721e-7,1.4209009690965621e-5,,C
17+18+25+26,4,1,1,0.135,4.467340376451721e-7,1.4209009690965621e-5,,A
1+2+4+12+25+26,6,1,1,0.135,4.467340376451721e-7,1.4209009690965621e-5,,C
12+22+25,3,1,1,0.135,4.467340376451721e-7,1.4209009690965621e-5,,NA
4+20+23,3,1,1,0.135,4.467340376451721e-7,1.4209009690965621e-5,,NA
20+25+26+36,4,1,1,0.135,4.467340376451721e-7,1.4209009690965621e-5,,NA
8+12+17+25+26,5,1,1,0.135,4.467340376451721e-7,1.4209009690965621e-5,,NA
1+4+8+20+25+26,6,1,1,0.135,4.467340376451721e-7,1.4209009690965621e-5,,NA
17+23+26,3,1,1,0.135,4.467340376451721e-7,1.4209009690965621e-5,,NA
1+2+15+16+25,5,1,1,0.135,4.467340376451721e-7,1.4209009690965621e-5,,NA
1+2+15+17,4,1,1,0.135,4.467340376451721e-7,1.4209009690965621e-5,,NA
8+20+25,3,1,1,0.112,3.7062379419451314e-7,1.1788215447319627e-5,,NA
2+4+16+25,4,1,1,0.102,3.3753238399857444e-7,1.0735696210951802e-5,,NA
6+22+25,3,1,1,0.102,3.3753238399857444e-7,1.0735696210951802e-5,,NA
7+20+25+26,4,1,1,0.102,3.3753238399857444e-7,1.0735696210951802e-5,,A
4+5+17+24,4,1,1,0.102,3.3753238399857444e-7,1.0735696210951802e-5,fig2002_anger_49,NA
6+9,2,1,1,0.102,3.3753238399857444e-7,1.0735696210951802e-5,,NA
4+6+24,3,1,1,0.102,3.3753238399857444e-7,1.0735696210951802e-5,,NA
1+2+24+26+30,5,1,1,0.102,3.3753238399857444e-7,1.0735696210951802e-5,,NA
12+17+25+26+33,5,1,1,0.102,3.3753238399857444e-7,1.0735696210951802e-5,,NA
1+11,2,1,1,0.102,3.3753238399857444e-7,1.0735696210951802e-5,,NA
1+2+9+12+25+26,6,1,1,0.102,3.3753238399857444e-7,1.0735696210951802e-5,,NA
4+5+22,3,1,1,0.102,3.3753238399857444e-7,1.0735696210951802e-5,,NA
1+2+7+24,4,1,1,0.102,3.3753238399857444e-7,1.0735696210951802e-5,,NA
1+17+25+26+32,5,1,1,0.102,3.3753238399857444e-7,1.0735696210951802e-5,,NA
4+15+25+26+32,5,1,1,0.102,3.3753238399857444e-7,1.0735696210951802e-5,,NA
4+16+23+25,4,1,1,0.102,3.3753238399857444e-7,1.0735696210951802e-5,,NA
1+2+17+24+26,5,1,1,0.102,3.3753238399857444e-7,1.0735696210951802e-5,,NA
4+12+17+20+25+26,6,1,1,0.102,3.3753238399857444e-7,1.0735696210951802e-5,,A
4+10+18+25,4,1,1,0.102,3.3753238399857444e-7,1.0735696210951802e-5,,A
1+2+5+10+25+26,6,1,1,0.102,3.3753238399857444e-7,1.0735696210951802e-5,,C
12+17+20+25,4,1,1,0.102,3.3753238399857444e-7,1.0735696210951802e-5,,A
1+4+12+20+25,5,1,1,0.102,3.3753238399857444e-7,1.0735696210951802e-5,,A
4+16,2,1,1,0.102,3.3753238399857444e-7,1.0735696210951802e-5,,NA
9+25+36,3,1,1,0.102,3.3753238399857444e-7,1.0735696210951802e-5,,NA
4+5+18+25,4,1,1,0.102,3.3753238399857444e-7,1.0735696210951802e-5,,A
1+2+4+5+17,5,1,1,0.102,3.3753238399857444e-7,1.0735696210951802e-5,,C
1+2+5+26,4,1,1,0.101,3.342232429789806e-7,1.063044428731502e-5,"fig2002_surprise_1
fig2002_fear_19
matsumoto2008_surprise_1
matsumoto2008_surprise_2
matsumoto2008_surprise_3",C
1+2+4+5+7+10+20+25,8,1,1,0.101,3.342232429789806e-7,1.063044428731502e-5,,C
1+2+4+5+7,5,1,1,0.101,3.342232429789806e-7,1.063044428731502e-5,,C
5+12+20+25,4,1,1,0.101,3.342232429789806e-7,1.063044428731502e-5,,A
1+2+8+17+25+26,6,1,1,0.101,3.342232429789806e-7,1.063044428731502e-5,,NA
1+2+15+22,4,1,1,0.101,3.342232429789806e-7,1.063044428731502e-5,,NA
8+26+36,3,1,1,0.101,3.342232429789806e-7,1.063044428731502e-5,,NA
17+18+24,3,1,1,0.101,3.342232429789806e-7,1.063044428731502e-5,,NA
1+2+12+25+32,5,1,1,0.101,3.342232429789806e-7,1.063044428731502e-5,,NA
12+22,2,1,1,0.101,3.342232429789806e-7,1.063044428731502e-5,,NA
10+17+24,3,1,1,0.068,2.25021589332383e-7,7.1571308073012025e-6,,NA
7+12+17+25,4,1,1,0.068,2.25021589332383e-7,7.1571308073012025e-6,,A
5+12+24+34,4,1,1,0.068,2.25021589332383e-7,7.1571308073012025e-6,,NA
1+2+5+24+26,5,1,1,0.068,2.25021589332383e-7,7.1571308073012025e-6,,NA
8+19+20+25+26,5,1,1,0.068,2.25021589332383e-7,7.1571308073012025e-6,,NA
1+2+10+17,4,1,1,0.068,2.25021589332383e-7,7.1571308073012025e-6,,C
25+26+30,3,1,1,0.068,2.25021589332383e-7,7.1571308073012025e-6,,NA
1+2+5+12+18+25,6,1,1,0.068,2.25021589332383e-7,7.1571308073012025e-6,,C
1+2+5+22,4,1,1,0.068,2.25021589332383e-7,7.1571308073012025e-6,,NA
20+24,2,1,1,0.068,2.25021589332383e-7,7.1571308073012025e-6,,NA
12+17+25+26+36,5,1,1,0.068,2.25021589332383e-7,7.1571308073012025e-6,,NA
1+2+17+25+26+32,6,1,1,0.068,2.25021589332383e-7,7.1571308073012025e-6,,NA
10+17+20,3,1,1,0.068,2.25021589332383e-7,7.1571308073012025e-6,,A
4+8+12+17+25+26,6,1,1,0.068,2.25021589332383e-7,7.1571308073012025e-6,,NA
5+15,2,1,1,0.068,2.25021589332383e-7,7.1571308073012025e-6,,NA
6+9+25+26,4,1,1,0.068,2.25021589332383e-7,7.1571308073012025e-6,,NA
4+5+14+17+25+26,6,1,1,0.068,2.25021589332383e-7,7.1571308073012025e-6,,NA
4+10+20+25+26,5,1,1,0.068,2.25021589332383e-7,7.1571308073012025e-6,,A
1+6+12+25,4,1,1,0.068,2.25021589332383e-7,7.1571308073012025e-6,,B
4+14+24,3,1,1,0.068,2.25021589332383e-7,7.1571308073012025e-6,,NA
1+2+12+15+17+25+26,7,1,1,0.068,2.25021589332383e-7,7.1571308073012025e-6,,NA
10+16+25+26,4,1,1,0.067,2.217124483127891e-7,7.051878883664419e-6,fig2002_disgust_9,NA
7+8+25+26,4,1,1,0.067,2.217124483127891e-7,7.051878883664419e-6,,NA
1+2+5+17+20,5,1,1,0.067,2.217124483127891e-7,7.051878883664419e-6,,C
4+13+17,3,1,1,0.067,2.217124483127891e-7,7.051878883664419e-6,,NA
10+22+25,3,1,1,0.067,2.217124483127891e-7,7.051878883664419e-6,,NA
1+2+12+17+18+25,6,1,1,0.067,2.217124483127891e-7,7.051878883664419e-6,,C
7+8+12+25+26,5,1,1,0.067,2.217124483127891e-7,7.051878883664419e-6,,NA
17+19,2,1,1,0.034,1.125107946661915e-7,3.5785654036506012e-6,,NA
6+12+15,3,1,1,0.034,1.125107946661915e-7,3.5785654036506012e-6,,NA
1+2+12+17+18,5,1,1,0.034,1.125107946661915e-7,3.5785654036506012e-6,,C
1+23+25,3,1,1,0.034,1.125107946661915e-7,3.5785654036506012e-6,,NA
5+10+25,3,1,1,0.034,1.125107946661915e-7,3.5785654036506012e-6,,A
26+35,2,1,1,0.034,1.125107946661915e-7,3.5785654036506012e-6,,NA
4+12+22+25,4,1,1,0.034,1.125107946661915e-7,3.5785654036506012e-6,,NA
1+2+13+24,4,1,1,0.034,1.125107946661915e-7,3.5785654036506012e-6,,NA
4+10+17+36,4,1,1,0.034,1.125107946661915e-7,3.5785654036506012e-6,,NA
1+17+25,3,1,1,0.034,1.125107946661915e-7,3.5785654036506012e-6,,A
1+6+20+25+26,5,1,1,0.034,1.125107946661915e-7,3.5785654036506012e-6,,A
1+2+5+17+25+32,6,1,1,0.033,1.0920165364659762e-7,3.4733134800138185e-6,,NA
1+2+5+17+20+25,6,1,1,0.033,1.0920165364659762e-7,3.4733134800138185e-6,,C
5+12+18+25,4,1,1,0.033,1.0920165364659762e-7,3.4733134800138185e-6,,A
1+2+16+25,4,1,1,0.021,6.949196141147122e-8,2.21029039637243e-6,,NA
