name,emotion,code,full_aus,kept_aus,status
cordaro2018_amusement_1,amusement,6+7+12+16+25+26+53,7,6,partial
cordaro2018_amusement_2,amusement,6+7+12+16+25+27+53,7,6,partial
cordaro2018_awe_1,awe,1+2+5+12+25+26+53,7,6,partial
cordaro2018_awe_2,awe,1+2+5+12+25+27+53,7,6,partial
cordaro2018_contentment_1,contentment,12+43,2,1,partial
cordaro2018_coyness_1,coyness,6+7+12+25+54,5,4,partial
cordaro2018_desire_1,desire,7+12+25+26,4,4,complete
cordaro2018_desire_2,desire,7+12+25+27,4,4,complete
cordaro2018_desire_1,desire,6+7+12+25,4,4,complete
cordaro2018_happiness_1,happiness,6+7+12+16+25+26,6,6,complete
cordaro2018_happiness_2,happiness,6+7+12+16+25+27,6,6,complete
cordaro2018_interest_1,interest,85,1,0,unassessable
cordaro2018_pride_1,pride,7+12+53,3,2,partial
cordaro2018_relief_1,relief,12+18+25+26+43,5,4,partial
cordaro2018_relief_2,relief,12+18+25+27+43,5,4,partial
cordaro2018_surprise_1,surprise,1+2+5+25+26,5,5,complete
cordaro2018_surprise_2,surprise,1+2+5+25+27,5,5,complete
cordaro2018_triumph_1,triumph,6+7+12+25+26,5,5,complete
cordaro2018_triumph_2,triumph,6+7+12+25+27,5,5,complete
cordaro2018_anger_1,anger,4+7,2,2,complete
cordaro2018_boredom_1,boredom,43,1,0,unassessable
cordaro2018_confusion_1,confusion,4+7,2,2,complete
cordaro2018_contempt_1,contempt,4+14+25,3,3,complete
cordaro2018_disgust_1,disgust,4+6+7+9+10+25+26,7,7,complete
cordaro2018_disgust_2,disgust,4+6+7+9+10+25+27,7,7,complete
cordaro2018_embarrassment_1,embarrassment,6+7+12+25+54,5,4,partial
cordaro2018_fear_1,fear,1+2+5+7+25+26,6,6,complete
cordaro2018_fear_2,fear,1+2+5+7+25+27,6,6,complete
cordaro2018_pain_1,pain,4+6+7+20+25+43,6,5,partial
cordaro2018_sadness_1,sadness,4+43+54,3,1,partial
cordaro2018_shame_1,shame,4+17+54,3,2,partial
cordaro2018_sympathy_1,sympathy,25+26+57,3,2,partial
cordaro2018_sympathy_2,sympathy,25+27+57,3,2,partial
du2014_happiness_1,happiness,12+25,2,2,complete
du2014_happiness_2,happiness,6+12+25,3,3,complete
du2014_sadness_1,sadness,4+15,2,2,complete
du2014_sadness_2,sadness,1+4+15,3,3,complete
du2014_sadness_3,sadness,4+6+15,3,3,complete
du2014_sadness_4,sadness,4+11+15,3,3,complete
du2014_sadness_5,sadness,4+15+17,3,3,complete
du2014_sadness_6,sadness,1+4+6+15,4,4,complete
du2014_sadness_7,sadness,1+4+11+15,4,4,complete
du2014_sadness_8,sadness,1+4+15+17,4,4,complete
du2014_sadness_9,sadness,4+6+11+15,4,4,complete
du2014_sadness_10,sadness,4+6+15+17,4,4,complete
du2014_sadness_11,sadness,4+11+15+17,4,4,complete
du2014_sadness_12,sadness,1+4+6+11+15,5,5,complete
du2014_sadness_13,sadness,1+4+6+15+17,5,5,complete
du2014_sadness_14,sadness,1+4+11+15+17,5,5,complete
du2014_sadness_15,sadness,4+6+11+15+17,5,5,complete
du2014_sadness_16,sadness,1+4+6+11+15+17,6,6,complete
du2014_fear_1,fear,1+4+20+25,4,4,complete
du2014_fear_2,fear,1+2+4+20+25,5,5,complete
du2014_fear_3,fear,1+4+5+20+25,5,5,complete
du2014_fear_4,fear,1+4+20+25+26,5,5,complete
du2014_fear_5,fear,1+2+4+5+20+25,6,6,complete
du2014_fear_6,fear,1+2+4+20+25+26,6,6,complete
du2014_fear_7,fear,1+4+5+20+25+26,6,6,complete
du2014_fear_8,fear,1+2+4+5+20+25+26,7,7,complete
du2014_anger_1,anger,4+7+24,3,3,complete
du2014_anger_2,anger,4+7+10+24,4,4,complete
du2014_anger_3,anger,4+7+17+24,4,4,complete
du2014_anger_4,anger,4+7+23+24,4,4,complete
du2014_anger_5,anger,4+7+10+17+24,5,5,complete
du2014_anger_6,anger,4+7+10+23+24,5,5,complete
du2014_anger_7,anger,4+7+17+23+24,5,5,complete
du2014_anger_8,anger,4+7+10+17+23+24,6,6,complete
du2014_surprise_1,surprise,1+2+25+26,4,4,complete
du2014_surprise_2,surprise,1+2+5+25+26,5,5,complete
du2014_disgust_1,disgust,9+10+17,3,3,complete
du2014_disgust_2,disgust,4+9+10+17,4,4,complete
du2014_disgust_3,disgust,9+10+17+24,4,4,complete
du2014_disgust_4,disgust,4+9+10+17+24,5,5,complete
fig2002_surprise_1,surprise,1+2+5+26,4,4,complete
fig2002_surprise_2,surprise,1+2+5+27,4,4,complete
fig2002_surprise_3,surprise,1+2+5,3,3,complete
fig2002_surprise_4,surprise,1+2+26,3,3,complete
fig2002_surprise_5,surprise,1+2+27,3,3,complete
fig2002_surprise_6,surprise,5+26,2,2,complete
fig2002_surprise_7,surprise,5+27,2,2,complete
fig2002_fear_1,fear,1+2+4+5+20+25,6,6,complete
fig2002_fear_2,fear,1+2+4+5+20+26,6,6,complete
fig2002_fear_3,fear,1+2+4+5+20+27,6,6,complete
fig2002_fear_4,fear,1+2+4+5+20+25+26,7,7,complete
fig2002_fear_5,fear,1+2+4+5+20+25+27,7,7,complete
fig2002_fear_6,fear,1+2+4+5+25,5,5,complete
fig2002_fear_7,fear,1+2+4+5+26,5,5,complete
fig2002_fear_8,fear,1+2+4+5+27,5,5,complete
fig2002_fear_9,fear,1+2+4+5+25+26,6,6,complete
fig2002_fear_10,fear,1+2+4+5+25+27,6,6,complete
fig2002_fear_11,fear,1+2+4+5+20+25,6,6,complete
fig2002_fear_12,fear,1+2+4+5+20+26,6,6,complete
fig2002_fear_13,fear,1+2+4+5+20+27,6,6,complete
fig2002_fear_14,fear,1+2+4+5+20+25+26,7,7,complete
fig2002_fear_15,fear,1+2+4+5+20+25+27,7,7,complete
fig2002_fear_16,fear,1+2+4+5,4,4,complete
fig2002_fear_17,fear,1+2+5,3,3,complete
fig2002_fear_18,fear,1+2+5+25,4,4,complete
fig2002_fear_19,fear,1+2+5+26,4,4,complete
fig2002_fear_20,fear,1+2+5+27,4,4,complete
fig2002_fear_21,fear,1+2+5+25+26,5,5,complete
fig2002_fear_22,fear,1+2+5+25+27,5,5,complete
fig2002_fear_23,fear,5+20,2,2,complete
fig2002_fear_24,fear,5+20+25,3,3,complete
fig2002_fear_25,fear,5+20+26,3,3,complete
fig2002_fear_26,fear,5+20+27,3,3,complete
fig2002_fear_27,fear,5+20+25+26,4,4,complete
fig2002_fear_28,fear,5+20+25+27,4,4,complete
fig2002_happiness_1,happiness,6+12,2,2,complete
fig2002_happiness_2,happiness,12,1,1,complete
fig2002_sadness_1,sadness,1+4+11+15,4,4,complete
fig2002_sadness_2,sadness,1+4+11+15+25,5,5,complete
fig2002_sadness_3,sadness,1+4+11+15+26,5,5,complete
fig2002_sadness_4,sadness,1+4+11+15+25+26,6,6,complete
fig2002_sadness_5,sadness,1+4+11+15+54+64,6,4,partial
fig2002_sadness_6,sadness,1+4+11+15+25+54+64,7,5,partial
fig2002_sadness_7,sadness,1+4+11+15+26+54+64,7,5,partial
fig2002_sadness_8,sadness,1+4+11+15+25+26+54+64,8,6,partial
fig2002_sadness_9,sadness,1+4+15,3,3,complete
fig2002_sadness_10,sadness,1+4+15+25,4,4,complete
fig2002_sadness_11,sadness,1+4+15+26,4,4,complete
fig2002_sadness_12,sadness,1+4+15+25+26,5,5,complete
fig2002_sadness_13,sadness,1+4+15+54+64,5,3,partial
fig2002_sadness_14,sadness,1+4+15+25+54+64,6,4,partial
fig2002_sadness_15,sadness,1+4+15+26+54+64,6,4,partial
fig2002_sadness_16,sadness,1+4+15+25+26+54+64,7,5,partial
fig2002_sadness_17,sadness,6+15,2,2,complete
fig2002_sadness_18,sadness,6+15+25,3,3,complete
fig2002_sadness_19,sadness,6+15+26,3,3,complete
fig2002_sadness_20,sadness,6+15+25+26,4,4,complete
fig2002_sadness_21,sadness,6+15+54+64,4,2,partial
fig2002_sadness_22,sadness,6+15+25+54+64,5,3,partial
fig2002_sadness_23,sadness,6+15+26+54+64,5,3,partial
fig2002_sadness_24,sadness,6+15+25+26+54+64,6,4,partial
fig2002_sadness_25,sadness,1+4+11,3,3,complete
fig2002_sadness_26,sadness,1+4+11+25,4,4,complete
fig2002_sadness_27,sadness,1+4+11+26,4,4,complete
fig2002_sadness_28,sadness,1+4+11+25+26,5,5,complete
fig2002_sadness_29,sadness,1+4+11+54+64,5,3,partial
fig2002_sadness_30,sadness,1+4+11+25+54+64,6,4,partial
fig2002_sadness_31,sadness,1+4+11+26+54+64,6,4,partial
fig2002_sadness_32,sadness,1+4+11+25+26+54+64,7,5,partial
fig2002_sadness_33,sadness,1+4+15+17,4,4,complete
fig2002_sadness_34,sadness,1+4+15+17+25,5,5,complete
fig2002_sadness_35,sadness,1+4+15+17+26,5,5,complete
fig2002_sadness_36,sadness,1+4+15+17+25+26,6,6,complete
fig2002_sadness_37,sadness,1+4+15+17+54+64,6,4,partial
fig2002_sadness_38,sadness,1+4+15+17+25+54+64,7,5,partial
fig2002_sadness_39,sadness,1+4+15+17+26+54+64,7,5,partial
fig2002_sadness_40,sadness,1+4+15+17+25+26+54+64,8,6,partial
fig2002_sadness_41,sadness,11+15,2,2,complete
fig2002_sadness_42,sadness,11+15+25,3,3,complete
fig2002_sadness_43,sadness,11+15+26,3,3,complete
fig2002_sadness_44,sadness,11+15+25+26,4,4,complete
fig2002_sadness_45,sadness,11+15+54+64,4,2,partial
fig2002_sadness_46,sadness,11+15+25+54+64,5,3,partial
fig2002_sadness_47,sadness,11+15+26+54+64,5,3,partial
fig2002_sadness_48,sadness,11+15+25+26+54+64,6,4,partial
fig2002_sadness_49,sadness,11+17,2,2,complete
fig2002_sadness_50,sadness,11+17+25,3,3,complete
fig2002_sadness_51,sadness,11+17+26,3,3,complete
fig2002_sadness_52,sadness,11+17+25+26,4,4,complete
fig2002_disgust_1,disgust,9,1,1,complete
fig2002_disgust_2,disgust,9+15+16,3,3,complete
fig2002_disgust_3,disgust,9+16+26,3,3,complete
fig2002_disgust_4,disgust,9+15+16+26,4,4,complete
fig2002_disgust_5,disgust,9+17,2,2,complete
fig2002_disgust_6,disgust,10,1,1,complete
fig2002_disgust_7,disgust,10+16+25,3,3,complete
fig2002_disgust_8,disgust,10+16+26,3,3,complete
fig2002_disgust_9,disgust,10+16+25+26,4,4,complete
fig2002_disgust_10,disgust,10+17,2,2,complete
fig2002_anger_1,anger,4+5+7+10+22+23+25,7,7,complete
fig2002_anger_2,anger,4+5+7+10+22+23+26,7,7,complete
fig2002_anger_3,anger,4+5+7+10+22+23+25+26,8,8,complete
fig2002_anger_4,anger,4+5+7+10+23+25,6,6,complete
fig2002_anger_5,anger,4+5+7+10+23+26,6,6,complete
fig2002_anger_6,anger,4+5+7+10+23+25+26,7,7,complete
fig2002_anger_7,anger,4+5+7+23+25,5,5,complete
fig2002_anger_8,anger,4+5+7+23+26,5,5,complete
fig2002_anger_9,anger,4+5+7+23+25+26,6,6,complete
fig2002_anger_10,anger,4+5+7+17+23,5,5,complete
fig2002_anger_11,anger,4+5+7+17+24,5,5,complete
fig2002_anger_12,anger,4+5+7+23,4,4,complete
fig2002_anger_13,anger,4+5+7+24,4,4,complete
fig2002_anger_14,anger,5+7+10+22+23+25,6,6,complete
fig2002_anger_15,anger,5+7+10+22+23+26,6,6,complete
fig2002_anger_16,anger,5+7+10+22+23+25+26,7,7,complete
fig2002_anger_17,anger,4+7+10+22+23+25,6,6,complete
fig2002_anger_18,anger,4+7+10+22+23+26,6,6,complete
fig2002_anger_19,anger,4+7+10+22+23+25+26,7,7,complete
fig2002_anger_20,anger,4+5+10+22+23+25,6,6,complete
fig2002_anger_21,anger,4+5+10+22+23+26,6,6,complete
fig2002_anger_22,anger,4+5+10+22+23+25+26,7,7,complete
fig2002_anger_23,anger,4+5+7+22+23+25,6,6,complete
fig2002_anger_24,anger,4+5+7+22+23+26,6,6,complete
fig2002_anger_25,anger,4+5+7+22+23+25+26,7,7,complete
fig2002_anger_26,anger,5+7+10+23+25,5,5,complete
fig2002_anger_27,anger,5+7+10+23+26,5,5,complete
fig2002_anger_28,anger,5+7+10+23+25+26,6,6,complete
fig2002_anger_29,anger,4+7+10+23+25,5,5,complete
fig2002_anger_30,anger,4+7+10+23+26,5,5,complete
fig2002_anger_31,anger,4+7+10+23+25+26,6,6,complete
fig2002_anger_32,anger,4+5+10+23+25,5,5,complete
fig2002_anger_33,anger,4+5+10+23+26,5,5,complete
fig2002_anger_34,anger,4+5+10+23+25+26,6,6,complete
fig2002_anger_35,anger,5+7+23+25,4,4,complete
fig2002_anger_36,anger,5+7+23+26,4,4,complete
fig2002_anger_37,anger,5+7+23+25+26,5,5,complete
fig2002_anger_38,anger,4+7+23+25,4,4,complete
fig2002_anger_39,anger,4+7+23+26,4,4,complete
fig2002_anger_40,anger,4+7+23+25+26,5,5,complete
fig2002_anger_41,anger,4+5+23+25,4,4,complete
fig2002_anger_42,anger,4+5+23+26,4,4,complete
fig2002_anger_43,anger,4+5+23+25+26,5,5,complete
fig2002_anger_44,anger,5+7+17+23,4,4,complete
fig2002_anger_45,anger,4+7+17+23,4,4,complete
fig2002_anger_46,anger,4+5+17+23,4,4,complete
fig2002_anger_47,anger,5+7+17+24,4,4,complete
fig2002_anger_48,anger,4+7+17+24,4,4,complete
fig2002_anger_49,anger,4+5+17+24,4,4,complete
fig2002_anger_50,anger,5+7+23,3,3,complete
fig2002_anger_51,anger,4+7+23,3,3,complete
fig2002_anger_52,anger,4+5+23,3,3,complete
fig2002_anger_53,anger,5+7+24,3,3,complete
fig2002_anger_54,anger,4+7+24,3,3,complete
fig2002_anger_55,anger,4+5+24,3,3,complete
keltner2019_amusement_1,amusement,6+7+12+25+26+53,6,5,partial
keltner2019_anger_1,anger,4+5+17+23+24,5,5,complete
keltner2019_boredom_1,boredom,43+55,2,0,unassessable
keltner2019_confusion_1,confusion,4+7+56,3,2,partial
keltner2019_contentment_1,contentment,12+43,2,1,partial
keltner2019_coyness_1,coyness,6+7+12+25+26+52+54+61,8,5,partial
keltner2019_desire_1,desire,19+25+26+43,4,3,partial
keltner2019_disgust_1,disgust,7+9+19+25+26,5,5,complete
keltner2019_embarrassment_1,embarrassment,7+12+15+52+54+64,6,3,partial
keltner2019_fear_1,fear,1+2+4+5+7+20+25,7,7,complete
keltner2019_happiness_1,happiness,6+7+12+25+26,5,5,complete
keltner2019_interest_1,interest,1+2+12,3,3,complete
keltner2019_pain_1,pain,4+6+7+9+17+18+23+24,8,8,complete
keltner2019_pride_1,pride,53+64,2,0,unassessable
keltner2019_sadness_1,sadness,1+4+6+15+17,5,5,complete
keltner2019_shame_1,shame,54+64,2,0,unassessable
keltner2019_surprise_1,surprise,1+2+5+25+26,5,5,complete
keltner2019_sympathy_1,sympathy,1+17+24+57,4,3,partial
matsumoto2008_anger_1,anger,4+5+22+23+24,5,5,complete
matsumoto2008_anger_2,anger,4+7+22+23+24,5,5,complete
matsumoto2008_anger_3,anger,4+5+7+22+23+24,6,6,complete
matsumoto2008_contempt_1,contempt,12+14,2,2,complete
matsumoto2008_disgust_1,disgust,9,1,1,complete
matsumoto2008_disgust_2,disgust,9+25,2,2,complete
matsumoto2008_disgust_3,disgust,9+26,2,2,complete
matsumoto2008_disgust_4,disgust,9+25+26,3,3,complete
matsumoto2008_disgust_5,disgust,10,1,1,complete
matsumoto2008_disgust_6,disgust,10+25,2,2,complete
matsumoto2008_disgust_7,disgust,10+26,2,2,complete
matsumoto2008_disgust_8,disgust,10+25+26,3,3,complete
matsumoto2008_disgust_9,disgust,9+10,2,2,complete
matsumoto2008_disgust_10,disgust,9+10+25,3,3,complete
matsumoto2008_disgust_11,disgust,9+10+26,3,3,complete
matsumoto2008_disgust_12,disgust,9+10+25+26,4,4,complete
matsumoto2008_fear_1,fear,1+2+4+5+20,5,5,complete
matsumoto2008_fear_2,fear,1+2+4+5+20+25,6,6,complete
matsumoto2008_fear_3,fear,1+2+4+5+20+26,6,6,complete
matsumoto2008_fear_4,fear,1+2+4+5+20+25+26,7,7,complete
matsumoto2008_happiness_1,happiness,6+12,2,2,complete
matsumoto2008_happiness_1,happiness,6+12,2,2,complete
matsumoto2008_sadness_1,sadness,1+15,2,2,complete
matsumoto2008_sadness_2,sadness,1+4+15,3,3,complete
matsumoto2008_sadness_3,sadness,1+15+17,3,3,complete
matsumoto2008_sadness_4,sadness,1+4+15+17,4,4,complete
matsumoto2008_surprise_1,surprise,1+2+5+26,4,4,complete
matsumoto2008_surprise_2,surprise,1+2+5+26,4,4,complete
matsumoto2008_surprise_3,surprise,1+2+5+26,4,4,complete
